Fecha,SR16643,SR16644,SR16645,SR16646,SR16647,SR16648,SR16649,SR16650,SR16651,SR16652,SR16674,SR16675,SR16676,SR16677,SR16678,SR16679,SR16680,SR16681,SR16682,SR16683,SR16684,SR16685,SR16686,SR16687,SR16688,SR16689
Ene-Mar 2003,7745442.7,402303.5,7343139.3,254489.1,254489.1,2526678.8,512399,151092.7,581515.6,1281671.6,4561971.3,467637.7,644144.5,443447.6,132741.8,188366.1,961833.4,162419.7,40872.9,304012.7,298897.8,168818.5,39685.5,221524.7,182112.1,305456.3
Abr-Jun 2003,7880575.1,383426.1,7497149,269003.2,269003.2,2398704.9,372542.9,153507,570761.9,1301893.1,4829440.9,522918.2,656006.9,465441.8,142589.5,190438.4,1012271.8,199450.4,44987.8,317125.5,330885.2,170434.2,40288.7,230564.6,189105.2,316932.7
Jul-Sep 2003,7771536.6,396685,7374851.6,237715.1,237715.1,2434691.1,365902.2,151943.1,610780.7,1306065.1,4702445.4,540216.4,668505.1,470530.1,147661.2,179507.3,991329,170260.8,33927.8,273950.1,311788.3,172592.4,38338.8,222497.2,183777.3,297563.8
Oct-Dic 2003,8077683.7,390417.2,7687266.5,305012,305012,2457391,388830.2,151120.7,579351.6,1338088.5,4924863.5,566537.6,738022.1,470249.8,155276.1,197311.4,1015608,192161.4,42785.2,294369.4,329726.7,176017.1,38570.6,210229.2,190801.2,307197.7
Ene-Mar 2004,8346933.4,408443.4,7938490,295353,295353,2670804.9,462447.8,160612.2,658723.3,1389021.7,4972332.1,532903,705426.9,487334.1,158571.5,194524.7,1042961.5,184957.6,47161.8,320651.4,323759.4,182196.4,44351,232327.4,193408.6,321796.7
Abr-Jun 2004,8882220.5,397946.4,8484274.1,287359.5,287359.5,2894308.7,569921.7,162340.8,685951.2,1476095,5302605.9,598313.8,744808.1,512252.7,167801.4,203715.9,1109789.8,222167.8,53633.2,340791.3,352159,180481.6,41573.1,242093.6,200691.7,332332.9
Jul-Sep 2004,8844033.2,370311.6,8473721.6,251298.6,251298.6,3019147.9,628044.5,174184.6,706027.2,1510891.6,5203275.2,613454.3,771703.7,527940.4,176439.9,223609.1,1064964.7,190442.9,39556.9,293191.4,324505.9,183632,40503.3,238561.3,197738.3,317031.3
Oct-Dic 2004,9240282.7,384693.7,8855589,345173,345173,3016587.7,641080.1,170189.6,698464.1,1506853.8,5493828.3,650051,873294,532171.4,182970.7,243559.3,1084180.2,201840.3,48159.2,333888.3,344995,187361.8,39981.2,231251.2,208387.6,331737.3
Ene-Mar 2005,9061147.3,405801.6,8655345.7,284869.6,284869.6,2983607.6,628328,177840.9,736419.2,1441019.5,5386868.5,564960.8,779361.8,527848,187231.5,267232.4,1108246.5,202626.5,52434.1,317073.2,348054.1,188035.7,46448.8,250798.1,207681.9,338835.2
Abr-Jun 2005,9643592.4,389456.3,9254136.1,293722.6,293722.6,3139223.2,720025.1,176596.7,733122.4,1509479,5821190.4,659889,852047.7,563427.3,196257.8,279984.8,1170223.5,239895.5,55544.4,361327.7,391704.9,188849.3,43747.1,255372.8,216944.4,345974.3
Jul-Sep 2005,9574366.7,386546.7,9187820,274434.2,274434.2,3181635.1,761940.5,184079.1,741427.6,1494187.9,5731750.7,666742.1,856890.9,578010.6,204875.7,282134.5,1133159.5,208855.5,44697.5,347562.2,357788.3,193582.7,42202.9,256973.7,211718.1,346556.6
Oct-Dic 2005,9971486.1,400896.5,9570589.5,322492.4,322492.4,3235381.2,727900.6,178740.5,757907.1,1570833,6012715.9,708069.6,945197.1,589408.5,210674.6,294401.9,1168073.7,215862.4,54756.3,379068.2,383956,196590.3,42399.6,233401.7,222997.4,367858.4
Ene-Mar 2006,10100429.4,422196.5,9678233,309131.3,309131.3,3391494.9,769777.8,188004.3,789291.9,1644420.9,5977606.7,666069.5,880367.5,599456.5,210583.8,293350.1,1198098.4,210923.7,63975.6,349039.1,386650,200431.4,51762.4,257984.2,225510.9,383403.5
Abr-Jun 2006,10757668.3,406173,10351495.3,325415.2,325415.2,3688393.9,878183.7,185547,835882.2,1788780.9,6337686.2,740670.5,895271,634027.9,226110.4,297574.5,1279491.8,248437.9,63743.9,382463.2,417849.3,204744,49698.7,268741.9,237092.2,391768.8
Jul-Sep 2006,10703482,379239.3,10324242.7,273867.5,273867.5,3807094.2,859281,201658.6,909326.9,1836827.7,6243281.1,747123.6,893713.4,641292.8,235507.2,299507.8,1244692.6,226878.6,60161.9,374259.1,397080.7,213261.6,47693.9,261411.1,230207.1,370489.5
Oct-Dic 2006,10962177.9,392406.7,10569771.2,399542.7,399542.7,3654134.7,743198.6,199920.8,896603.2,1814412.1,6516093.8,783167.6,983342.8,639922.2,245864.7,324053.1,1273897.5,238938.8,55778.4,412820.5,415799.9,212009.9,47417.9,255662.8,239190.8,388226.8
