Fecha,SR16643,SR16644,SR16645,SR16646,SR16647,SR16648,SR16649,SR16650,SR16651,SR16652,SR16674,SR16675,SR16676,SR16677,SR16678,SR16679,SR16680,SR16681,SR16682,SR16683,SR16684,SR16685,SR16686,SR16687,SR16688,SR16689
Abr-Jun 2012,15710742.2,404331.3,15306410.8,523376.1,523376.1,5373646.8,1316658.2,218080.1,1224748.7,2614159.8,9409388,1269119.8,1338661.3,948517.3,326088,459620.9,1767792.1,315376.9,90021.5,535699,623081.1,326643.9,70021.4,331515.9,320452.4,686776.4
Jul-Sep 2012,15770756.5,551947.4,15218809.1,425948.4,425948.4,5360341.6,1248050.2,228907.6,1279670.8,2603713.1,9432519.1,1267503.3,1330625.5,963911.7,319151.7,479520,1784778.9,304342.5,88211.6,546483.1,623696.3,359541.7,68209,335098.8,327388.9,634055.9
Oct-Dic 2012,16376978.4,500295.2,15876683.3,603871.8,603871.8,5296760.2,1197125.4,223213.8,1280964,2595456.9,9976051.4,1371246.2,1529983.7,986720,300040.8,521969.2,1823364.7,332183.3,96171.9,591522.6,662109.1,357864.1,68290.3,328066.2,334024.4,672495
Ene-Mar 2013,15769614.4,670161.8,15099452.5,463189.7,463189.7,5128714.7,1195186.8,222764.1,1172382.1,2538381.7,9507548.1,1205599.7,1360484.9,965077.6,304992.1,531212.8,1810067.4,284964,92669.5,544391.9,650559.8,368337.7,74037.2,342498.9,330901,641753.6
Abr-Jun 2013,16200044.7,514455.5,15685589.1,557490.5,557490.5,5166783.3,1108345.1,240850.6,1206275.7,2611311.8,9961315.3,1318005.9,1467812,1005765.6,332979.7,560712.1,1841887.8,322749.1,92957.4,565017,662016.2,356452.3,73423.4,344251.1,339650.8,677635.1
Jul-Sep 2013,16203445.1,671421.1,15532023.9,416651.6,416651.6,5194496.5,1161501.7,254970.1,1198435.4,2579589.3,9920875.8,1272360.9,1427703.9,1026017,328615.8,568078,1863933.4,303345.8,90785.5,572743.8,651043.5,388034.7,73089.8,349947.5,345001.5,660174.7
Oct-Dic 2013,16935644.2,682230.5,16253413.8,606291,606291,5251255.1,1149363.9,257579.5,1265692.1,2578619.5,10395867.7,1352021.7,1564827.4,1049122.6,332175.5,608947.1,1898307.5,335583.5,85405.1,626170.1,692505.1,383613.2,72908.1,342385.8,344787.1,707107.8
Ene-Mar 2014,16741679.4,890371.8,15851307.6,489716.2,489716.2,5336358.4,1232484.7,271271.6,1186790.2,2645811.9,10025233,1261073.9,1404707.5,1028643.2,326717.7,591758.4,1906588.5,295075.3,102525.9,565573.2,692113.7,387177.5,72660.1,357782.5,343259.7,689575.8
Abr-Jun 2014,17416386.8,847501,16568885.8,575376,575376,5549438.6,1250430.1,285061.8,1264214.1,2749732.7,10444071.3,1407453.6,1492472.4,1071650.9,338638.3,589716.9,1935866.4,326721.8,100146.6,596882.8,693466.3,374548.3,72876.5,370894.7,353440.2,719295.5
Jul-Sep 2014,17453170.9,902466.6,16550704.4,472981.5,472981.5,5578963,1177271.1,307323.3,1290743.6,2803625,10498759.9,1405524.4,1506045.2,1080142.3,329017.1,591249,1952076.4,318123.2,99081,593846,703195.9,405216.5,76644.4,372464.2,362495.4,703638.8
Oct-Dic 2014,18284129,977041,17307088,653030.1,653030.1,5548944.4,943397.3,302859.6,1389069,2913618.5,11105113.5,1534379.9,1701090.8,1112401.2,340167.5,626556.4,1980598,366763.5,103287.3,636809,741859.8,403419.3,73740.3,378654.3,363169.6,742216.7
Ene-Mar 2015,17764994.9,1086881.2,16678113.7,550684.1,550684.1,5372464,786390.9,286004,1269340.7,3030728.3,10754965.6,1466982.6,1537282.1,1088875.5,310659.5,609503.6,1980996.8,311839.4,105783.3,596847.6,740605.6,415244.2,77995.3,399110.1,366354.3,746885.8
Abr-Jun 2015,18468693.7,1035216.7,17433477.1,618653.7,618653.7,5584752.8,804205,277565.9,1334115.5,3168866.5,11230070.5,1612422.5,1635853.3,1122656.4,329220.7,605947.6,2041997.6,364838.7,108632.9,618125.4,753548.1,407468.3,80334.8,417250.3,371062.7,760711.3
Jul-Sep 2015,18658892.6,1093281.5,17565611.1,498855.3,498855.3,5712335.5,717401.8,295427.2,1433467.4,3266039.1,11354420.3,1664388.4,1691116.5,1148525.3,329628.9,622050.5,2031451.4,342139.8,110384.6,618928,750932.7,436666.1,83738.7,431349.5,379970.5,713149.4
Oct-Dic 2015,19313255.8,1077001.3,18236254.6,703766.7,703766.7,5602110.6,623540.9,286271.2,1438190.6,3254107.9,11930377.3,1739235.7,1864921.7,1168439.6,356051.3,673963.9,2059076,391936.1,113007.9,663214.9,790624.6,432731.3,77527.9,438240.8,391286.2,770119.4
